Time,localhost,api_gateway,config_server,discovery_server,vets_service,discovery_server2,customers_service,discovery_server3,customers_server,visits_server,vets_server,api_gateway2,api_gateway3,api_gateway4,api_gateway5,discovery_server4,visits_client,discovery_server5,genai_client,discovery_server6,customers_server2,visits_server2,genai_server,vets_server2,admin_client,admin_client2,admin_client3,admin_client4,admin_client5,admin_client6,api_gateway_server,discovery_server
2025-05-18 00:50:00,0,0,0,0,2,0,,,442,2,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0,0,,0
2025-05-18 00:50:15,0,0,0,0,0,0,,,442,2,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0,0,,0
2025-05-18 00:50:30,0,0,0,0,0,0,,,337,1,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0,0,,
2025-05-18 00:50:45,0,0,0,0,0,0,,,337,1,0,0,0,0,0,0,0,0,,,,,0,,0,,,,,0,,
2025-05-18 00:51:00,0,0,0,0,0,0,,,337,1,0,0,0,0,0,0,0,0,,,,,0,,0,,,,,0,,
2025-05-18 00:51:15,0,0,0,0,0,0,,,337,1,0,0,0,0,0,0,0,0,,,,,0,,0,,,,,0,,
2025-05-18 00:51:30,0,0,0,0,0,0,,,301,3,0,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,0,,
2025-05-18 00:51:45,0,0,0,0,0,0,,,301,3,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:52:00,0,0,0,0,0,0,,,301,3,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:52:15,0,0,0,0,0,,,,301,3,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:52:30,0,0,0,0,0,,,,270,0,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:52:45,0,0,0,0,0,,,,270,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:53:00,0,0,0,0,0,,,,270,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:53:15,0,0,0,0,0,,,,270,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:53:30,0,0,0,0,0,,,,287,1,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:53:45,0,0,0,0,0,,,,287,1,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:54:00,0,0,0,0,0,,,,287,1,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:54:15,0,0,0,0,0,,,,287,1,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
2025-05-18 00:54:30,0,0,0,0,0,,,,425,2,1,0,0,0,0,0,,,0,0,,,,,,,,,,,,
2025-05-18 00:54:45,0,0,0,0,0,,,,425,2,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,
2025-05-18 00:55:00,0,0,0,0,0,,,,425,2,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,
2025-05-18 00:55:15,0,0,0,0,,,,,425,2,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,
2025-05-18 00:55:30,0,0,0,0,,,,,195,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,
2025-05-18 00:55:45,0,0,0,0,,,,,195,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
2025-05-18 00:56:00,0,0,0,0,,,,,195,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
2025-05-18 00:56:15,0,0,0,0,,,,,195,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
2025-05-18 00:56:30,0,0,0,0,,,,,427,0,0,,0,0,0,,0,,,,,,,,0,,,,,,,0
2025-05-18 00:56:45,0,0,0,0,,,,,427,0,1,0,0,0,0,0,0,,,,,,,,0,,,,,,,0
2025-05-18 00:57:00,0,0,0,0,,,,,427,0,1,0,0,0,0,0,0,,,,,,,,0,,,,,,,0
2025-05-18 00:57:15,0,0,0,0,,,,,427,0,1,0,0,0,0,0,0,,,,,,,,0,,,,,,,0
2025-05-18 00:57:30,0,0,0,0,,,,,404,2,1,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:57:45,0,0,0,0,,,,,404,2,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:58:00,0,0,0,0,,,,,404,2,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:58:15,0,0,0,0,,,0,0,404,2,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:58:30,0,0,0,0,,,0,0,373,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:58:45,0,0,0,0,,,0,0,373,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:59:00,0,0,0,0,,,0,0,373,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:59:15,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:59:30,0,0,0,0,0,0,0,0,452,4,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:59:45,0,0,0,0,0,0,0,0,452,4,1,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 01:00:00,0,0,0,0,0,0,0,0,452,4,1,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 01:00:15,0,0,0,0,0,0,0,0,452,4,1,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 01:00:30,0,0,0,0,0,0,0,0,351,1,1,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 01:00:45,0,0,0,0,0,0,0,0,351,1,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 01:01:00,0,0,0,0,0,0,0,0,351,1,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 01:01:15,0,0,0,0,0,0,0,0,351,1,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,0
2025-05-18 01:01:30,0,0,0,0,0,0,0,0,310,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2025-05-18 01:01:45,0,0,0,0,0,0,0,0,310,1,0,,0,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 01:02:00,0,0,0,0,0,0,0,0,310,1,0,,0,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 01:02:15,0,0,0,0,0,0,0,0,310,1,0,,0,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 01:02:30,0,0,0,0,0,0,0,0,174,5,0,,0,0,0,,,,,,,,,,,,,,,,,
2025-05-18 01:02:45,0,0,0,0,0,0,0,0,174,5,0,,0,0,0,,,,,,,,,,,,,,,,,
2025-05-18 01:03:00,0,0,0,0,0,0,0,0,174,5,0,,0,0,0,,,,,,,,,,,,,,,,,
2025-05-18 01:03:15,0,0,0,0,0,0,0,0,174,5,0,,0,0,0,,,,,,,,,,,,,,,,,
