minutes,tcp_srtt_source,tcp_srtt_SRTT_cumulative
2025-05-17 16:59:45,THREADFULL,3859.3646294521577
2025-05-17 17:00:00,THREADFULL,4049.9989153662423
2025-05-17 17:00:15,THREADFULL,4294.599908730158
2025-05-17 17:00:30,THREADFULL,4316.394663969291
2025-05-17 17:00:45,THREADFULL,4388.503970054455
2025-05-17 17:01:00,THREADFULL,4430.608791483026
2025-05-17 17:01:15,THREADFULL,4588.770364541469
2025-05-17 17:01:30,THREADFULL,4579.761575599925
2025-05-17 17:01:45,THREADFULL,4600.660543136895
2025-05-17 17:02:00,THREADFULL,4685.804240424987
2025-05-17 17:02:15,THREADFULL,4910.70670881226
2025-05-17 17:02:30,THREADFULL,4940.291437343358
2025-05-17 17:02:45,THREADFULL,4715.407649350648
2025-05-17 17:03:00,THREADFULL,4520.569887445888
2025-05-17 17:03:15,THREADFULL,4205.5622564935065
2025-05-17 17:03:30,THREADFULL,4122.750304723055
2025-05-17 17:03:45,THREADFULL,4322.939840159841
2025-05-17 17:04:00,THREADFULL,4476.204940562457
2025-05-17 17:04:15,THREADFULL,4826.476943833944
2025-05-17 17:04:30,THREADFULL,4965.943907761828
2025-05-17 17:04:45,THREADFULL,5023.17356439424
2025-05-17 17:05:00,THREADFULL,5042.298762806938
2025-05-17 17:05:15,THREADFULL,5153.849345238095
2025-05-17 17:05:30,THREADFULL,5135.1540277777785
2025-05-17 17:05:45,THREADFULL,5036.239484126984
2025-05-17 17:06:00,THREADFULL,4960.389324175824
2025-05-17 17:06:15,THREADFULL,4675.335806277056
2025-05-17 17:06:30,THREADFULL,4607.763472357759
2025-05-17 17:06:45,THREADFULL,4573.4711329027705
2025-05-17 17:07:00,THREADFULL,4605.942786230435
2025-05-17 17:07:15,THREADFULL,4580.685386460238
2025-05-17 17:07:30,THREADFULL,4578.249647754499
2025-05-17 17:07:45,THREADFULL,4547.726633416876
2025-05-17 17:08:00,THREADFULL,4566.614389692387
2025-05-17 17:08:15,THREADFULL,4593.879343247979
2025-05-17 17:08:30,THREADFULL,4607.611825058568
2025-05-17 17:08:45,THREADFULL,4552.41121785729
2025-05-17 17:09:00,THREADFULL,4588.668070278595
2025-05-17 17:09:15,THREADFULL,4595.841598435025
2025-05-17 17:09:30,THREADFULL,4651.532875754947
