Time,mem_available
2025-05-18 01:07:00,11629432
2025-05-18 01:07:15,11629432
2025-05-18 01:07:30,11647772
2025-05-18 01:07:45,11647772
2025-05-18 01:08:00,11647772
2025-05-18 01:08:15,11647772
2025-05-18 01:08:30,11637980
2025-05-18 01:08:45,11637980
2025-05-18 01:09:00,11637980
2025-05-18 01:09:15,11637980
2025-05-18 01:09:30,11634620
2025-05-18 01:09:45,11634620
2025-05-18 01:10:00,11634620
2025-05-18 01:10:15,11634620
2025-05-18 01:10:30,10098432
2025-05-18 01:10:45,10098432
2025-05-18 01:11:00,10098432
2025-05-18 01:11:15,10098432
2025-05-18 01:11:30,11480352
2025-05-18 01:11:45,11480352
2025-05-18 01:12:00,11480352
2025-05-18 01:12:15,11480352
2025-05-18 01:12:30,10232904
2025-05-18 01:12:45,10232904
2025-05-18 01:13:00,10232904
2025-05-18 01:13:15,10232904
2025-05-18 01:13:30,10246048
2025-05-18 01:13:45,10246048
2025-05-18 01:14:00,10246048
2025-05-18 01:14:15,10246048
2025-05-18 01:14:30,10237780
2025-05-18 01:14:45,10237780
2025-05-18 01:15:00,10237780
2025-05-18 01:15:15,10237780
2025-05-18 01:15:30,10246228
2025-05-18 01:15:45,10246228
2025-05-18 01:16:00,10246228
2025-05-18 01:16:15,10246228
2025-05-18 01:16:30,10266652
2025-05-18 01:16:45,10266652
2025-05-18 01:17:00,10266652
2025-05-18 01:17:15,10266652
2025-05-18 01:17:30,10258760
2025-05-18 01:17:45,10258760
2025-05-18 01:18:00,10258760
2025-05-18 01:18:15,10258760
2025-05-18 01:18:30,10081360
2025-05-18 01:18:45,10081360
2025-05-18 01:19:00,10081360
2025-05-18 01:19:15,10081360
2025-05-18 01:19:30,10075348
2025-05-18 01:19:45,10075348
2025-05-18 01:20:00,10075348
2025-05-18 01:20:15,10075348
2025-05-18 01:20:30,10079172
2025-05-18 01:20:45,10079172
2025-05-18 01:21:00,10079172
2025-05-18 01:21:15,10079172
2025-05-18 01:21:30,10084908
2025-05-18 01:21:45,10084908
2025-05-18 01:22:00,10084908
2025-05-18 01:22:15,10084908
2025-05-18 01:22:30,9000128
2025-05-18 01:22:45,9000128
2025-05-18 01:23:00,9000128
2025-05-18 01:23:15,9000128
2025-05-18 01:23:30,8504076
2025-05-18 01:23:45,8504076
2025-05-18 01:24:00,8504076
2025-05-18 01:24:15,8504076
2025-05-18 01:24:30,8409152
2025-05-18 01:24:45,8409152
2025-05-18 01:25:00,8409152
