Time,visits_service,source,Minutes
2025-05-17 17:37:00,0,OOM,65.5
2025-05-17 17:37:15,0,OOM,65.75
2025-05-17 17:37:30,0,OOM,66.0
2025-05-17 17:37:45,0,OOM,66.25
2025-05-17 17:38:00,0,OOM,66.5
2025-05-17 17:38:15,0,OOM,66.75
2025-05-17 17:38:30,0,OOM,67.0
2025-05-17 17:38:45,0,OOM,67.25
2025-05-17 17:39:00,0,OOM,67.5
2025-05-17 17:39:15,0,OOM,67.75
2025-05-17 17:39:30,0,OOM,68.0
2025-05-17 17:39:45,0,OOM,68.25
2025-05-17 17:40:00,0,OOM,68.5
2025-05-17 17:40:15,0,OOM,68.75
2025-05-17 17:40:30,0,OOM,69.0
2025-05-17 17:40:45,0,OOM,69.25
2025-05-17 17:41:00,0,OOM,69.5
2025-05-17 17:41:15,0,OOM,69.75
2025-05-17 17:41:30,0,OOM,70.0
2025-05-17 17:41:45,0,OOM,70.25
2025-05-17 17:42:00,0,OOM,70.5
2025-05-17 17:42:15,0,OOM,70.75
2025-05-17 17:42:30,0,OOM,71.0
2025-05-17 17:42:45,0,OOM,71.25
2025-05-17 17:43:00,0,OOM,71.5
2025-05-17 17:43:15,0,OOM,71.75
2025-05-17 17:43:30,0,OOM,72.0
2025-05-17 17:43:45,0,OOM,72.25
2025-05-17 17:44:00,0,OOM,72.5
2025-05-17 17:44:15,0,OOM,72.75
2025-05-17 17:44:30,0,OOM,73.0
2025-05-17 17:44:45,0,OOM,73.25
2025-05-17 17:45:00,0,OOM,73.5
2025-05-17 17:45:15,0,OOM,73.75
2025-05-17 17:45:30,0,OOM,74.0
2025-05-17 17:45:45,0,OOM,74.25
2025-05-17 17:46:00,0,OOM,74.5
2025-05-17 17:46:15,0,OOM,74.75
2025-05-17 17:46:30,0,OOM,75.0
2025-05-17 17:46:45,0,OOM,75.25
2025-05-17 17:47:00,0,OOM,75.5
2025-05-17 17:47:15,0,OOM,75.75
2025-05-17 17:47:30,0,OOM,76.0
2025-05-17 17:47:45,0,OOM,76.25
2025-05-17 17:48:00,0,OOM,76.5
2025-05-17 17:48:15,0,OOM,76.75
2025-05-17 17:48:30,0,OOM,77.0
2025-05-17 17:48:45,0,OOM,77.25
2025-05-17 17:49:00,0,OOM,77.5
2025-05-17 17:49:15,0,OOM,77.75
2025-05-17 17:49:30,0,OOM,78.0
2025-05-17 17:49:45,0,OOM,78.25
2025-05-17 17:50:00,0,OOM,78.5
2025-05-17 17:50:15,0,OOM,78.75
2025-05-17 17:50:30,0,OOM,79.0
2025-05-17 17:50:45,0,OOM,79.25
2025-05-17 17:51:00,0,OOM,79.5
2025-05-17 17:51:15,0,OOM,79.75
2025-05-17 17:51:30,0,OOM,80.0
2025-05-17 17:51:45,0,OOM,80.25
2025-05-17 17:52:00,0,OOM,80.5
2025-05-17 17:52:15,0,OOM,80.75
2025-05-17 17:52:30,0,OOM,81.0
2025-05-17 17:52:45,0,OOM,81.25
2025-05-17 17:53:00,0,OOM,81.5
2025-05-17 17:53:15,0,OOM,81.75
2025-05-17 17:53:30,0,OOM,82.0
2025-05-17 17:53:45,0,OOM,82.25
2025-05-17 17:54:00,0,OOM,82.5
2025-05-17 17:54:15,0,OOM,82.75
2025-05-17 17:54:30,0,OOM,83.0
2025-05-17 17:54:45,0,OOM,83.25
2025-05-17 17:55:00,0,OOM,83.5
2025-05-17 17:55:15,0,OOM,83.75
2025-05-17 17:55:30,0,OOM,84.0
2025-05-17 17:55:45,0,OOM,84.25
2025-05-17 17:56:00,0,OOM,84.5
2025-05-17 17:56:15,0,OOM,84.75
2025-05-17 17:56:30,0,OOM,85.0
2025-05-17 17:56:45,0,OOM,85.25
2025-05-17 17:57:00,0,OOM,85.5
2025-05-17 17:57:15,0,OOM,85.75
2025-05-17 17:57:30,0,OOM,86.0
2025-05-17 17:57:45,0,OOM,86.25
2025-05-17 17:58:00,0,OOM,86.5
2025-05-17 17:58:15,0,OOM,86.75
2025-05-17 17:58:30,0,OOM,87.0
2025-05-17 17:58:45,0,OOM,87.25
2025-05-17 17:59:00,0,OOM,87.5
2025-05-17 17:59:15,0,OOM,87.75
2025-05-17 17:59:30,0,OOM,88.0
2025-05-17 17:59:45,0,OOM,88.25
2025-05-17 18:00:00,0,OOM,88.5
2025-05-17 18:00:15,0,OOM,88.75
2025-05-17 18:00:30,0,OOM,89.0
2025-05-17 18:00:45,0,OOM,89.25
2025-05-17 18:01:00,0,OOM,89.5
2025-05-17 18:01:15,0,OOM,89.75
2025-05-17 18:01:30,0,OOM,90.0
2025-05-17 18:01:45,0,OOM,90.25
2025-05-17 18:02:00,0,OOM,90.5
2025-05-17 18:02:15,0,OOM,90.75
2025-05-17 18:02:30,0,OOM,91.0
2025-05-17 18:02:45,0,OOM,91.25
2025-05-17 18:03:00,0,OOM,91.5
2025-05-17 18:03:15,0,OOM,91.75
2025-05-17 18:03:30,0,OOM,92.0
2025-05-17 18:03:45,0,OOM,92.25
2025-05-17 18:04:00,0,OOM,92.5
2025-05-17 18:04:15,0,OOM,92.75
2025-05-17 18:04:30,0,OOM,93.0
2025-05-17 18:04:45,0,OOM,93.25
2025-05-17 18:05:00,0,OOM,93.5
2025-05-17 18:05:15,0,OOM,93.75
2025-05-17 18:05:30,0,OOM,94.0
2025-05-17 18:05:45,0,OOM,94.25
2025-05-17 18:06:00,0,OOM,94.5
2025-05-17 18:06:15,0,OOM,94.75
2025-05-17 18:06:30,0,OOM,95.0
2025-05-17 18:06:45,0,OOM,95.25
2025-05-17 18:07:00,0,OOM,95.5
2025-05-17 18:07:15,0,OOM,95.75
2025-05-17 18:07:30,0,OOM,96.0
2025-05-17 18:07:45,0,OOM,96.25
2025-05-17 18:08:00,0,OOM,96.5
2025-05-17 18:08:15,0,OOM,96.75
2025-05-17 18:08:30,0,OOM,97.0
2025-05-17 18:08:45,0,OOM,97.25
2025-05-17 18:09:00,0,OOM,97.5
2025-05-17 18:09:15,0,OOM,97.75
2025-05-17 18:09:30,0,OOM,98.0
2025-05-17 18:09:45,0,OOM,98.25
2025-05-17 18:10:00,0,OOM,98.5
2025-05-17 18:10:15,0,OOM,98.75
2025-05-17 18:10:30,0,OOM,99.0
2025-05-17 18:10:45,0,OOM,99.25
2025-05-17 18:11:00,0,OOM,99.5
2025-05-17 18:11:15,0,OOM,99.75
2025-05-17 18:11:30,0,OOM,100.0
2025-05-17 18:11:45,0,OOM,100.25
2025-05-17 18:12:00,0,OOM,100.5
2025-05-17 18:12:15,0,OOM,100.75
2025-05-17 18:12:30,0,OOM,101.0
2025-05-17 18:12:45,0,OOM,101.25
2025-05-17 18:13:00,0,OOM,101.5
2025-05-17 18:13:15,0,OOM,101.75
2025-05-17 18:13:30,0,OOM,102.0
2025-05-17 18:13:45,0,OOM,102.25
2025-05-17 18:14:00,0,OOM,102.5
2025-05-17 18:14:15,0,OOM,102.75
2025-05-17 18:14:30,0,OOM,103.0
2025-05-17 18:14:45,0,OOM,103.25
2025-05-17 18:15:00,0,OOM,103.5
2025-05-17 18:15:15,0,OOM,103.75
2025-05-17 18:15:30,0,OOM,104.0
2025-05-17 18:15:45,0,OOM,104.25
2025-05-17 18:16:00,0,OOM,104.5
2025-05-17 18:16:15,0,OOM,104.75
2025-05-17 18:16:30,0,OOM,105.0
2025-05-17 18:16:45,0,OOM,105.25
2025-05-17 18:17:00,0,OOM,105.5
2025-05-17 18:17:15,0,OOM,105.75
2025-05-17 18:17:30,0,OOM,106.0
2025-05-17 18:17:45,0,OOM,106.25
2025-05-17 18:18:00,0,OOM,106.5
2025-05-17 18:18:15,0,OOM,106.75
2025-05-17 18:18:30,0,OOM,107.0
2025-05-17 18:18:45,0,OOM,107.25
2025-05-17 18:19:00,0,OOM,107.5
2025-05-17 18:19:15,0,OOM,107.75
2025-05-17 18:19:30,0,OOM,108.0
2025-05-17 18:19:45,0,OOM,108.25
2025-05-17 18:20:00,0,OOM,108.5
2025-05-17 18:20:15,0,OOM,108.75
2025-05-17 18:20:30,0,OOM,109.0
2025-05-17 18:20:45,0,OOM,109.25
2025-05-17 18:21:00,0,OOM,109.5
2025-05-17 18:21:15,0,OOM,109.75
2025-05-17 18:21:30,0,OOM,110.0
2025-05-17 18:21:45,0,OOM,110.25
2025-05-17 18:22:00,0,OOM,110.5
2025-05-17 18:22:15,0,OOM,110.75
2025-05-17 18:22:30,0,OOM,111.0
2025-05-17 18:22:45,0,OOM,111.25
2025-05-17 18:23:00,0,OOM,111.5
2025-05-17 18:23:15,0,OOM,111.75
2025-05-17 18:23:30,0,OOM,112.0
2025-05-17 18:23:45,0,OOM,112.25
2025-05-17 18:24:00,0,OOM,112.5
2025-05-17 18:24:15,0,OOM,112.75
2025-05-17 18:24:30,0,OOM,113.0
2025-05-17 18:24:45,0,OOM,113.25
2025-05-17 18:25:00,0,OOM,113.5
2025-05-17 18:25:15,0,OOM,113.75
2025-05-17 18:25:30,0,OOM,114.0
2025-05-17 18:25:45,0,OOM,114.25
2025-05-17 18:26:00,0,OOM,114.5
2025-05-17 18:26:15,0,OOM,114.75
2025-05-17 18:26:30,0,OOM,115.0
2025-05-17 18:26:45,0,OOM,115.25
2025-05-17 18:27:00,0,OOM,115.5
2025-05-17 18:27:15,0,OOM,115.75
2025-05-17 18:27:30,0,OOM,116.0
2025-05-17 18:27:45,0,OOM,116.25
2025-05-17 18:28:00,0,OOM,116.5
2025-05-17 18:28:15,0,OOM,116.75
2025-05-17 18:28:30,0,OOM,117.0
2025-05-17 18:28:45,0,OOM,117.25
2025-05-17 18:29:00,0,OOM,117.5
2025-05-17 18:29:15,0,OOM,117.75
2025-05-17 18:29:30,0,OOM,118.0
2025-05-17 18:29:45,0,OOM,118.25
2025-05-17 18:30:00,0,OOM,118.5
2025-05-17 18:30:15,0,OOM,118.75
2025-05-17 18:30:30,0,OOM,119.0
2025-05-17 18:30:45,0,OOM,119.25
