minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes
8.25,10,2,16,8,1,4,1,0,0,0,CPU_STRESS,8.25,300,356,343,325,355,309,332,318,0,0,CPU_STRESS,8.25,1287,1341,1350,1344,1426,1289,1398,1324,0,0,CPU_STRESS,8.25,14504,17375,16229,18015,17086,15378,16621,16786,0,0,CPU_STRESS,8.25,27.848023809523838,32.40349956709957,30.3302288961039,33.555114285714296,32.3033839008214,29.26758575134016,30.520247186147184,31.130834126984123,0,0,CPU_STRESS,8.25
8.5,10,5,21,8,1,3,1,1,0,0,CPU_STRESS,8.5,303,356,343,330,359,310,337,318,0,0,CPU_STRESS,8.5,1302,1331,1352,1361,1420,1270,1397,1323,0,0,CPU_STRESS,8.5,14639,17535,16888,18584,17572,15504,16798,17155,0,0,CPU_STRESS,8.5,28.339213888888917,32.919330519480525,30.988758658008656,34.37297539682541,32.692713937451444,29.82002490385431,31.539193217893214,31.770162698412697,0,0,CPU_STRESS,8.5
8.75,7,5,27,8,3,3,1,2,0,0,CPU_STRESS,8.75,306,360,344,337,365,314,340,320,0,0,CPU_STRESS,8.75,1363,1324,1372,1390,1428,1329,1407,1327,0,0,CPU_STRESS,8.75,15128,17877,17411,18523,17674,16125,16783,17052,0,0,CPU_STRESS,8.75,29.21299126984129,33.393042424242424,31.80885238095238,34.48231706349207,33.10405749933073,30.95375143190142,31.34787388167388,31.74579126984127,0,0,CPU_STRESS,8.75
9.0,7,5,27,8,6,3,1,2,0,0,CPU_STRESS,9.0,308,363,345,338,366,318,341,319,0,0,CPU_STRESS,9.0,1392,1324,1372,1392,1429,1348,1408,1330,0,0,CPU_STRESS,9.0,16133,18633,17959,18523,17880,17652,16787,17056,0,0,CPU_STRESS,9.0,29.999980519480527,33.67258686868687,33.995771031746024,34.5045503968254,33.53657501792325,31.6063003996004,31.502938961038957,31.763981746031742,0,0,CPU_STRESS,9.0
9.25,4,5,14,8,18,3,9,9,0,0,CPU_STRESS,9.25,326,366,356,355,382,357,341,309,0,0,CPU_STRESS,9.25,1569,1385,1394,1499,1469,1492,1410,1360,0,0,CPU_STRESS,9.25,16824,19043,19250,18662,18253,18275,16686,17038,0,0,CPU_STRESS,9.25,31.627669372294367,34.77695909090909,35.99508769841271,34.95983888888891,33.5432128979354,34.29529403651903,31.63655205627704,31.846997222222203,0,0,CPU_STRESS,9.25
9.5,4,5,8,8,19,3,9,9,0,0,CPU_STRESS,9.5,330,367,362,359,386,371,341,302,0,0,CPU_STRESS,9.5,1567,1382,1403,1509,1475,1545,1411,1366,0,0,CPU_STRESS,9.5,17041,19275,19952,18748,18551,18458,16844,17151,0,0,CPU_STRESS,9.5,32.476431926406924,35.69050833333334,36.915288888888895,35.22145317460319,34.2390070650428,34.88730691530691,32.05004332611831,31.926692460317444,0,0,CPU_STRESS,9.5
9.75,4,5,8,8,14,3,6,8,0,0,CPU_STRESS,9.75,334,369,366,364,386,368,342,302,0,0,CPU_STRESS,9.75,1425,1376,1415,1482,1463,1528,1413,1370,0,0,CPU_STRESS,9.75,17666,19391,20044,18992,18832,18465,17248,17480,0,0,CPU_STRESS,9.75,33.41701652236652,36.03638181818181,36.922160930735934,35.59620476190476,35.46077081518155,34.827445346320346,32.42261554834054,32.36760079365079,0,0,CPU_STRESS,9.75
10.0,4,5,8,7,10,3,6,8,0,0,CPU_STRESS,10.0,334,369,366,364,386,368,342,309,0,0,CPU_STRESS,10.0,1417,1376,1416,1467,1461,1526,1414,1374,0,0,CPU_STRESS,10.0,18809,19970,20022,19083,19475,18628,17554,17557,0,0,CPU_STRESS,10.0,33.65574555167055,36.58503896103895,36.9273037878788,35.92596785714285,35.728014002549735,34.84232839105339,32.72717864357865,32.6157388888889,0,0,CPU_STRESS,10.0
10.25,4,5,8,0,1,3,0,8,0,0,CPU_STRESS,10.25,309,370,366,383,366,359,342,344,0,0,CPU_STRESS,10.25,1201,1453,1434,1363,1408,1453,1468,1415,0,0,CPU_STRESS,10.25,19112,20121,19830,19950,19935,18730,18297,17817,0,0,CPU_STRESS,10.25,35.10131831501833,36.98762936507937,36.63880934343437,37.136825,36.49151910994235,34.98922962592963,34.211613564213586,33.16540595238096,0,0,CPU_STRESS,10.25
10.5,4,5,8,0,2,3,0,8,0,0,CPU_STRESS,10.5,304,370,366,385,362,357,343,357,0,0,CPU_STRESS,10.5,1177,1464,1443,1353,1390,1444,1482,1420,0,0,CPU_STRESS,10.5,19547,20047,19877,20807,20372,18833,18842,18382,0,0,CPU_STRESS,10.5,35.89108730158732,37.04126071428572,36.84536053391055,37.87135396825396,37.24174231174055,35.21422482794983,35.12325000000001,33.64031190476192,0,0,CPU_STRESS,10.5
