minutes,memavailable_mem_available,memavailable_source,memavailable_Minutes,memcache_mem_cache,memcache_source,memcache_Minutes,memory_mem_available,memory_source,memory_Minutes,memory_mem_cache,memory_source,memory_Minutes,memory_mem_util,memory_source,memory_Minutes,memutil_mem_util,memutil_source,memutil_Minutes
14.5,14028486.503337285,MEM_STRESS,14.5,4073216.8608034896,MEM_STRESS,14.5,14019961,MEM_STRESS,14.5,4072595,MEM_STRESS,14.5,42.82100000000007,MEM_STRESS,14.5,42.94166683186096,MEM_STRESS,14.5
14.75,14003712.703326156,MEM_STRESS,14.75,4071017.70912986,MEM_STRESS,14.75,13995279,MEM_STRESS,14.75,4070264,MEM_STRESS,14.75,42.82900000000008,MEM_STRESS,14.75,42.940926150320266,MEM_STRESS,14.75
15.0,13996598.339326154,MEM_STRESS,15.0,4071061.71912986,MEM_STRESS,15.0,13995279,MEM_STRESS,15.0,4070252,MEM_STRESS,15.0,42.91100000000007,MEM_STRESS,15.0,42.93925948365359,MEM_STRESS,15.0
15.25,13952144.57622711,MEM_STRESS,15.25,4071057.865796527,MEM_STRESS,15.25,13975546,MEM_STRESS,15.25,4070432,MEM_STRESS,15.25,43.21400000000004,MEM_STRESS,15.25,43.02167612534524,MEM_STRESS,15.25
15.5,13904809.983996978,MEM_STRESS,15.5,4073207.820985562,MEM_STRESS,15.5,13913228,MEM_STRESS,15.5,4072614,MEM_STRESS,15.5,43.39300000000002,MEM_STRESS,15.5,43.26842239574151,MEM_STRESS,15.5
15.75,13884082.387203326,MEM_STRESS,15.75,4074506.724322655,MEM_STRESS,15.75,13895362,MEM_STRESS,15.75,4071564,MEM_STRESS,15.75,43.4591666666667,MEM_STRESS,15.75,43.46685829448329,MEM_STRESS,15.75
16.0,13892683.199304722,MEM_STRESS,16.0,4069284.2205986055,MEM_STRESS,16.0,13878950,MEM_STRESS,16.0,4067227,MEM_STRESS,16.0,43.41100000000004,MEM_STRESS,16.0,43.47816240703741,MEM_STRESS,16.0
16.25,13903089.477587491,MEM_STRESS,16.25,4056505.729244928,MEM_STRESS,16.25,13890304,MEM_STRESS,16.25,4051001,MEM_STRESS,16.25,43.40600000000004,MEM_STRESS,16.25,43.48654649794649,MEM_STRESS,16.25
16.5,13898281.31146628,MEM_STRESS,16.5,4057301.946256161,MEM_STRESS,16.5,13889649,MEM_STRESS,16.5,4049682,MEM_STRESS,16.5,43.41800000000004,MEM_STRESS,16.5,43.48654649794649,MEM_STRESS,16.5
16.75,13888449.985353565,MEM_STRESS,16.75,4059078.943158829,MEM_STRESS,16.75,13871666,MEM_STRESS,16.75,4057750,MEM_STRESS,16.75,43.53300000000003,MEM_STRESS,16.75,43.51247030747031,MEM_STRESS,16.75
17.0,13859165.23358351,MEM_STRESS,17.0,4059125.8827143847,MEM_STRESS,17.0,13853253,MEM_STRESS,17.0,4057796,MEM_STRESS,17.0,43.74500000000002,MEM_STRESS,17.0,43.5977903929404,MEM_STRESS,17.0
17.25,13788131.470999366,MEM_STRESS,17.25,4059898.0047414303,MEM_STRESS,17.25,13780135,MEM_STRESS,17.25,4059502,MEM_STRESS,17.25,43.9775,MEM_STRESS,17.25,43.88712014700985,MEM_STRESS,17.25
17.5,13755698.20481984,MEM_STRESS,17.5,4060144.195591111,MEM_STRESS,17.5,13750869,MEM_STRESS,17.5,4059905,MEM_STRESS,17.5,44.0045,MEM_STRESS,17.5,44.06469540964926,MEM_STRESS,17.5
17.75,13744011.057365658,MEM_STRESS,17.75,4060314.356648061,MEM_STRESS,17.75,13751192,MEM_STRESS,17.75,4059545,MEM_STRESS,17.75,44.03753888888888,MEM_STRESS,17.75,44.08018442164773,MEM_STRESS,17.75
18.0,13742458.377365658,MEM_STRESS,18.0,4060314.356648061,MEM_STRESS,18.0,13750857,MEM_STRESS,18.0,4059624,MEM_STRESS,18.0,44.06612863247861,MEM_STRESS,18.0,44.08075585021916,MEM_STRESS,18.0
18.25,13743268.065089472,MEM_STRESS,18.25,4061085.968918843,MEM_STRESS,18.25,13747382,MEM_STRESS,18.25,4060984,MEM_STRESS,18.25,44.085123076923054,MEM_STRESS,18.25,44.05975681303344,MEM_STRESS,18.25
18.5,13743732.689756138,MEM_STRESS,18.5,4061615.6273369296,MEM_STRESS,18.5,13744388,MEM_STRESS,18.5,4061243,MEM_STRESS,18.5,44.08609999999998,MEM_STRESS,18.5,44.06934959802623,MEM_STRESS,18.5
18.75,13735771.126793232,MEM_STRESS,18.75,4061736.30730103,MEM_STRESS,18.75,13740223,MEM_STRESS,18.75,4061050,MEM_STRESS,18.75,44.11013333333331,MEM_STRESS,18.75,44.10291919798253,MEM_STRESS,18.75
19.0,13735050.7308512,MEM_STRESS,19.0,4061736.30730103,MEM_STRESS,19.0,13739247,MEM_STRESS,19.0,4061053,MEM_STRESS,19.0,44.1001333333333,MEM_STRESS,19.0,44.104157293220624,MEM_STRESS,19.0
19.25,13735292.022851204,MEM_STRESS,19.25,4061746.48330103,MEM_STRESS,19.25,13738403,MEM_STRESS,19.25,4061123,MEM_STRESS,19.25,44.047133333333335,MEM_STRESS,19.25,44.11304925750633,MEM_STRESS,19.25
19.5,13745737.86092522,MEM_STRESS,19.5,4062767.920679105,MEM_STRESS,19.5,13737993,MEM_STRESS,19.5,4062676,MEM_STRESS,19.5,44.018,MEM_STRESS,19.5,44.09416255798296,MEM_STRESS,19.5
19.75,13741936.435020462,MEM_STRESS,19.75,4063088.956458935,MEM_STRESS,19.75,13730908,MEM_STRESS,19.75,4063102,MEM_STRESS,19.75,44.02362307692308,MEM_STRESS,19.75,44.09029576505366,MEM_STRESS,19.75
20.0,13725487.782732878,MEM_STRESS,20.0,4062994.0961601865,MEM_STRESS,20.0,13719773,MEM_STRESS,20.0,4062821,MEM_STRESS,20.0,44.15520555555555,MEM_STRESS,20.0,44.14665314112273,MEM_STRESS,20.0
20.25,13691593.529842922,MEM_STRESS,20.25,4062994.0961601865,MEM_STRESS,20.25,13710156,MEM_STRESS,20.25,4062868,MEM_STRESS,20.25,44.41064999999999,MEM_STRESS,20.25,44.19462721456389,MEM_STRESS,20.25
20.5,13624905.376993231,MEM_STRESS,20.5,4063269.605001352,MEM_STRESS,20.5,13630292,MEM_STRESS,20.5,4063816,MEM_STRESS,20.5,44.55999999999998,MEM_STRESS,20.5,44.56409924304281,MEM_STRESS,20.5
