minutes,blocklatency_disk sda,blocklatency_source,blocklatency_Minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,readbytes_source,readbytes_Minutes,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,writebytes_source,writebytes_Minutes
17.25,13.0,MEM_STRESS,17.25,0,12659,1463.4217730817345,8739,MEM_STRESS,17.25,1001342,5376861,261296.68026729912,6020527,MEM_STRESS,17.25,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,17.25,1018574.7314575628,5405467.274901521,0.0,5838817.353442067,MEM_STRESS,17.25
17.5,13.0,MEM_STRESS,17.5,0,12659,1463.4217730817345,8739,MEM_STRESS,17.5,1016662,5346214,261296.68026729912,6507742,MEM_STRESS,17.5,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,17.5,1034637.2755067504,5413728.591824599,0.0,6365530.571642906,MEM_STRESS,17.5
17.75,13.0,MEM_STRESS,17.75,0,12659,1463.4217730817345,8739,MEM_STRESS,17.75,1060394,5346214,261296.68026729912,6599965,MEM_STRESS,17.75,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,17.75,1066510.4383758449,5326228.088403167,0.0,6339599.342411312,MEM_STRESS,17.75
18.0,13.0,MEM_STRESS,18.0,0,12659,1463.4217730817345,8739,MEM_STRESS,18.0,1067475,5312400,261296.68026729912,6247793,MEM_STRESS,18.0,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,18.0,1072655.817549221,5241960.750543224,0.0,6299222.99581391,MEM_STRESS,18.0
18.25,13.0,MEM_STRESS,18.25,0,12659,1463.4217730817345,8739,MEM_STRESS,18.25,1019157,5258394,261296.68026729912,5956857,MEM_STRESS,18.25,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,18.25,1067903.1226890015,5054307.718013966,0.0,5944634.224757117,MEM_STRESS,18.25
18.5,13.0,MEM_STRESS,18.5,0,12659,1463.4217730817345,8739,MEM_STRESS,18.5,1009304,4794276,261296.68026729912,5500651,MEM_STRESS,18.5,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,18.5,1051979.7439731208,4702321.762273929,0.0,5331984.9358581565,MEM_STRESS,18.5
18.75,13.0,MEM_STRESS,18.75,0,12659,1463.4217730817345,8739,MEM_STRESS,18.75,961058,4702751,261296.68026729912,5404368,MEM_STRESS,18.75,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,18.75,964272.3393699346,4707810.402273929,0.0,5329016.159766202,MEM_STRESS,18.75
19.0,13.0,MEM_STRESS,19.0,0,12659,1463.4217730817345,8739,MEM_STRESS,19.0,855966,4694941,261296.68026729912,5317615,MEM_STRESS,19.0,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,19.0,858959.78012299,4741885.197147935,0.0,5323729.129960892,MEM_STRESS,19.0
19.25,13.0,MEM_STRESS,19.25,0,12659,1463.4217730817345,8739,MEM_STRESS,19.25,848501,4693733,261296.68026729912,5318066,MEM_STRESS,19.25,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,19.25,848716.920840718,4750780.928957458,0.0,5323729.129960892,MEM_STRESS,19.25
19.5,13.0,MEM_STRESS,19.5,0,12659,1463.4217730817345,8739,MEM_STRESS,19.5,833227,4671496,261296.68026729912,5355387,MEM_STRESS,19.5,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,19.5,847350.6257631498,4746354.204004575,0.0,5302152.657577605,MEM_STRESS,19.5
19.75,13.0,MEM_STRESS,19.75,0,12659,1463.4217730817345,8739,MEM_STRESS,19.75,833227,4654148,261296.68026729912,5355089,MEM_STRESS,19.75,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,19.75,854190.9457631499,4470806.233150922,0.0,5277752.364685374,MEM_STRESS,19.75
20.0,13.0,MEM_STRESS,20.0,0,12659,1463.4217730817345,8739,MEM_STRESS,20.0,837941,3937574,261296.68026729912,5196033,MEM_STRESS,20.0,0.0,207.12506951107903,0.0,137.65538948720896,MEM_STRESS,20.0,860165.3675013459,3992573.297204205,0.0,5267327.403584583,MEM_STRESS,20.0
