Time,connection_1,connection_2,connection_3
2025-05-19 00:36:00,,0,,0
2025-05-19 00:36:15,,0,,0
2025-05-19 00:36:30,,0,,0
2025-05-19 00:36:45,,0,,0
2025-05-19 00:37:00,,0,,0
2025-05-19 00:37:15,,0,,0
2025-05-19 00:37:30,,0,,0
2025-05-19 00:37:45,,0,,0
2025-05-19 00:38:00,,0,,0
2025-05-19 00:38:15,,0,,0
2025-05-19 00:38:30,,0,,0
2025-05-19 00:38:45,,0,,0
2025-05-19 00:39:00,,0,,0
2025-05-19 00:39:15,,0,,0
2025-05-19 00:39:30,,0,,0
2025-05-19 00:39:45,,0,,0
2025-05-19 00:40:00,,0,,0
2025-05-19 00:40:15,,0,,0
2025-05-19 00:40:30,,,,0
2025-05-19 00:40:45,,,,0
2025-05-19 00:41:00,,,,0
2025-05-19 00:41:15,,,,0
2025-05-19 00:41:30,,,,0
2025-05-19 00:41:45,,0,,0
2025-05-19 00:42:00,,0,,0
2025-05-19 00:42:15,,0,,0
2025-05-19 00:42:30,,0,,0
2025-05-19 00:42:45,,0,,0
2025-05-19 00:43:00,,0,,0
2025-05-19 00:43:15,,0,,0
2025-05-19 00:43:30,,0,,0
2025-05-19 00:43:45,,0,,0
2025-05-19 00:44:00,,0,,0
2025-05-19 00:44:15,,0,,0
2025-05-19 00:44:30,,0,,0
2025-05-19 00:44:45,,0,,0
2025-05-19 00:45:00,,0,,0
2025-05-19 00:45:15,,0,,0
2025-05-19 00:45:30,,0,,0
2025-05-19 00:45:45,,0,,0
2025-05-19 00:46:00,,0,,0
2025-05-19 00:46:15,,0,,0
2025-05-19 00:46:30,,0,,0
2025-05-19 00:46:45,,,,0
2025-05-19 00:47:00,,,,0
2025-05-19 00:47:15,,,,0
2025-05-19 00:47:30,,,,0
2025-05-19 00:47:45,,,,0
2025-05-19 00:48:00,,,,0
2025-05-19 00:48:15,,,,0
2025-05-19 00:48:30,,,,0
2025-05-19 00:48:45,,,,0
2025-05-19 00:49:00,,,,0
2025-05-19 00:49:15,,,,0
2025-05-19 00:49:30,,,,0
2025-05-19 00:49:45,,0,,0
2025-05-19 00:50:00,,0,,0
2025-05-19 00:50:15,,0,,0
2025-05-19 00:50:30,,0,,0
2025-05-19 00:50:45,,5,,0
2025-05-19 00:51:00,,5,,0
2025-05-19 00:51:15,,5,,0
2025-05-19 00:51:30,,5,,0
2025-05-19 00:51:45,,3,,0
2025-05-19 00:52:00,,3,,0
2025-05-19 00:52:15,,3,,0
2025-05-19 00:52:30,,3,,0
2025-05-19 00:52:45,,0,,0
2025-05-19 00:53:00,,0,,0
2025-05-19 00:53:15,,0,,0
2025-05-19 00:53:30,,0,,0
2025-05-19 00:53:45,,0,,0
2025-05-19 00:54:00,,0,,0
2025-05-19 00:54:15,,0,,0
2025-05-19 00:54:30,,0,,0
2025-05-19 00:54:45,,0,,0
2025-05-19 00:55:00,,0,,0
2025-05-19 00:55:15,,0,,0
2025-05-19 00:55:30,,0,,0
