Time,write_bytes_cumulative
2025-05-17 17:49:45,1945
2025-05-17 17:50:00,1945
2025-05-17 17:50:15,1945
2025-05-17 17:50:30,1945
2025-05-17 17:50:45,1945
2025-05-17 17:51:00,1945
2025-05-17 17:51:15,1945
2025-05-17 17:51:30,1945
2025-05-17 17:51:45,1945
2025-05-17 17:52:00,1945
2025-05-17 17:52:15,1945
2025-05-17 17:52:30,1945
2025-05-17 17:52:45,1945
2025-05-17 17:53:00,1945
2025-05-17 17:53:15,1945
2025-05-17 17:53:30,1945
2025-05-17 17:53:45,1945
2025-05-17 17:54:00,1945
2025-05-17 17:54:15,1945
2025-05-17 17:54:30,1945
2025-05-17 17:54:45,1945
2025-05-17 17:55:00,1945
2025-05-17 17:55:15,1945
2025-05-17 17:55:30,1945
2025-05-17 17:55:45,1945
2025-05-17 17:56:00,1945
2025-05-17 17:56:15,1945
2025-05-17 17:56:30,1945
2025-05-17 17:56:45,1945
2025-05-17 17:57:00,1945
2025-05-17 17:57:15,1945
2025-05-17 17:57:30,1987
2025-05-17 17:57:45,2397
2025-05-17 17:58:00,5529
2025-05-17 17:58:15,8314
2025-05-17 17:58:30,7571
2025-05-17 17:58:45,7286
2025-05-17 17:59:00,5812
2025-05-17 17:59:15,5019
2025-05-17 17:59:30,5140
2025-05-17 17:59:45,2705
2025-05-17 18:00:00,2778
2025-05-17 18:00:15,1966
2025-05-17 18:00:30,1966
2025-05-17 18:00:45,1966
2025-05-17 18:01:00,1966
2025-05-17 18:01:15,1966
2025-05-17 18:01:30,1966
2025-05-17 18:01:45,17567
2025-05-17 18:02:00,9811
2025-05-17 18:02:15,1926
2025-05-17 18:02:30,1926
2025-05-17 18:02:45,1926
2025-05-17 18:03:00,1926
2025-05-17 18:03:15,1926
2025-05-17 18:03:30,1926
2025-05-17 18:03:45,1926
2025-05-17 18:04:00,1926
2025-05-17 18:04:15,1926
2025-05-17 18:04:30,1926
2025-05-17 18:04:45,1926
2025-05-17 18:05:00,1926
2025-05-17 18:05:15,1926
2025-05-17 18:05:30,1926
2025-05-17 18:05:45,1926
2025-05-17 18:06:00,1766
2025-05-17 18:06:15,1766
2025-05-17 18:06:30,1766
2025-05-17 18:06:45,1766
2025-05-17 18:07:00,1766
2025-05-17 18:07:15,1766
2025-05-17 18:07:30,1766
2025-05-17 18:07:45,1766
2025-05-17 18:08:00,1766
2025-05-17 18:08:15,1766
2025-05-17 18:08:30,1766
2025-05-17 18:08:45,1766
2025-05-17 18:09:00,1766
2025-05-17 18:09:15,1766
2025-05-17 18:09:30,1766
2025-05-17 18:09:45,1766
2025-05-17 18:10:00,1766
2025-05-17 18:10:15,1766
2025-05-17 18:10:30,1766
2025-05-17 18:10:45,1766
2025-05-17 18:11:00,1766
2025-05-17 18:11:15,1725
2025-05-17 18:11:30,1725
2025-05-17 18:11:45,1725
2025-05-17 18:12:00,1725
2025-05-17 18:12:15,1725
2025-05-17 18:12:30,1725
2025-05-17 18:12:45,1725
2025-05-17 18:13:00,4345
2025-05-17 18:13:15,20161
2025-05-17 18:13:30,140925
2025-05-17 18:13:45,215071
2025-05-17 18:14:00,223655
2025-05-17 18:14:15,176680
2025-05-17 18:14:30,127337
2025-05-17 18:14:45,54946
2025-05-17 18:15:00,44343
2025-05-17 18:15:15,2383
2025-05-17 18:15:30,2383
2025-05-17 18:15:45,2383
2025-05-17 18:16:00,2383
2025-05-17 18:16:15,2383
2025-05-17 18:16:30,2383
2025-05-17 18:16:45,2383
2025-05-17 18:17:00,2383
2025-05-17 18:17:15,2383
2025-05-17 18:17:30,2383
2025-05-17 18:17:45,2383
2025-05-17 18:18:00,2383
2025-05-17 18:18:15,2383
2025-05-17 18:18:30,13843
2025-05-17 18:18:45,52220
2025-05-17 18:19:00,40590
2025-05-17 18:19:15,2528
2025-05-17 18:19:30,2528
2025-05-17 18:19:45,2528
2025-05-17 18:20:00,2528
2025-05-17 18:20:15,2528
2025-05-17 18:20:30,2528
2025-05-17 18:20:45,2528
2025-05-17 18:21:00,2528
2025-05-17 18:21:15,2528
2025-05-17 18:21:30,2528
2025-05-17 18:21:45,2528
2025-05-17 18:22:00,2528
2025-05-17 18:22:15,2528
2025-05-17 18:22:30,2528
2025-05-17 18:22:45,2528
2025-05-17 18:23:00,2528
2025-05-17 18:23:15,2528
2025-05-17 18:23:30,2528
2025-05-17 18:23:45,2528
2025-05-17 18:24:00,2528
2025-05-17 18:24:15,2528
2025-05-17 18:24:30,2528
2025-05-17 18:24:45,2528
2025-05-17 18:25:00,2528
2025-05-17 18:25:15,2528
2025-05-17 18:25:30,2528
2025-05-17 18:25:45,2528
2025-05-17 18:26:00,2528
2025-05-17 18:26:15,2528
2025-05-17 18:26:30,2528
2025-05-17 18:26:45,2528
2025-05-17 18:27:00,2528
2025-05-17 18:27:15,2528
2025-05-17 18:27:30,2528
2025-05-17 18:27:45,2528
2025-05-17 18:28:00,2528
2025-05-17 18:28:15,2528
2025-05-17 18:28:30,2528
2025-05-17 18:28:45,2528
2025-05-17 18:29:00,4699
2025-05-17 18:29:15,11211
2025-05-17 18:29:30,35143
2025-05-17 18:29:45,213358
2025-05-17 18:30:00,341214
2025-05-17 18:30:15,356010
2025-05-17 18:30:30,329360
2025-05-17 18:30:45,324225
2025-05-17 18:31:00,258155
2025-05-17 18:31:15,121539
2025-05-17 18:31:30,33691
2025-05-17 18:31:45,20523
2025-05-17 18:32:00,2618
2025-05-17 18:32:15,2618
2025-05-17 18:32:30,2618
2025-05-17 18:32:45,2618
2025-05-17 18:33:00,2618
2025-05-17 18:33:15,2618
2025-05-17 18:33:30,2618
2025-05-17 18:33:45,2618
2025-05-17 18:34:00,2618
2025-05-17 18:34:15,2618
2025-05-17 18:34:30,2618
2025-05-17 18:34:45,2618
2025-05-17 18:35:00,2618
