class,method,exceptions
"org.apache.zookeeper.server.UnimplementedRequestProcessor","processRequest",#org.apache.zookeeper.server.RequestProcessor$RequestProcessorException
"org.apache.zookeeper.server.ZooKeeperServer","<clinit>",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.ZooKeeperServer","checkACL",#org.apache.zookeeper.KeeperException$NoAuthException
"org.apache.zookeeper.server.ZooKeeperServer","checkRequestSizeWhenMessageReceived",#java.io.IOException
"org.apache.zookeeper.server.ZooKeeperServer","checkRequestSizeWhenReceivingMessage",#java.io.IOException
"org.apache.zookeeper.server.ZooKeeperServer","enqueueRequest",#java.lang.RuntimeException
"org.apache.zookeeper.server.ZooKeeperServer","parentPath",#org.apache.zookeeper.KeeperException$BadArgumentsException
"org.apache.zookeeper.server.ZooKeeperServer","processConnectRequest",#org.apache.zookeeper.server.ServerCnxn$CloseRequestException#org.apache.zookeeper.server.ClientCnxnLimitException
"org.apache.zookeeper.server.ZooKeeperServer","submitRequestNow",#java.lang.RuntimeException
"org.apache.zookeeper.server.ZooKeeperServer","touch",#org.apache.zookeeper.server.ZooKeeperServer$MissingSessionException
"org.apache.zookeeper.server.ZooKeeperServerMain","runFromConfig",#java.io.IOException
"org.apache.zookeeper.server.admin.JettyAdminServer","shutdown",#org.apache.zookeeper.server.admin.AdminServer$AdminServerException
"org.apache.zookeeper.server.admin.JettyAdminServer","start",#org.apache.zookeeper.server.admin.AdminServer$AdminServerException
"org.apache.zookeeper.server.admin.ReadAheadEndpoint","<init>",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.auth.KerberosName","<clinit>",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.auth.KerberosName","<init>",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.auth.KerberosName","getShortName",#org.apache.zookeeper.server.auth.KerberosName$NoMatchingRule
"org.apache.zookeeper.server.auth.KerberosName","parseRules",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.auth.KerberosName$Rule","apply",#org.apache.zookeeper.server.auth.KerberosName$NoMatchingRule
"org.apache.zookeeper.server.auth.KerberosName$Rule","replaceParameters",#org.apache.zookeeper.server.auth.KerberosName$BadFormatString
"org.apache.zookeeper.server.auth.SaslServerCallbackHandler","<init>",#java.io.IOException
"org.apache.zookeeper.server.auth.ServerAuthenticationProvider","handleAuthentication",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.auth.ServerAuthenticationProvider","matches",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.auth.X509AuthenticationProvider","getKeyManager",#org.apache.zookeeper.common.X509Exception$KeyManagerException
"org.apache.zookeeper.server.auth.X509AuthenticationProvider","getTrustManager",#org.apache.zookeeper.common.X509Exception$TrustManagerException
"org.apache.zookeeper.server.persistence.FileHeader","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.server.persistence.FileSnap","checkChecksum",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileSnap","deserialize",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileSnap","deserialize",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileSnap","serialize",#java.lang.IllegalStateException
"org.apache.zookeeper.server.persistence.FileSnap","serialize",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileTxnLog","append",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileTxnLog","getDbId",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileTxnLog","truncate",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileTxnLog$FileTxnIterator","inStreamCreated",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileTxnLog$FileTxnIterator","next",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileTxnLog$PositionInputStream","mark",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.persistence.FileTxnLog$PositionInputStream","reset",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.persistence.FileTxnSnapLog","<init>",#org.apache.zookeeper.server.persistence.FileTxnSnapLog$DatadirException
"org.apache.zookeeper.server.persistence.FileTxnSnapLog","checkLogDir",#org.apache.zookeeper.server.persistence.FileTxnSnapLog$LogDirContentCheckException
"org.apache.zookeeper.server.persistence.FileTxnSnapLog","checkSnapDir",#org.apache.zookeeper.server.persistence.FileTxnSnapLog$SnapDirContentCheckException
"org.apache.zookeeper.server.persistence.FileTxnSnapLog","fastForwardFromEdits",#java.io.IOException
"org.apache.zookeeper.server.persistence.FileTxnSnapLog","restore",#java.io.IOException
