Time,disk sda,source,Minutes
2025-05-17 17:59:45,13.0,MEM_STRESS,60.0
2025-05-17 18:00:00,13.0,MEM_STRESS,60.25
2025-05-17 18:00:15,13.0,MEM_STRESS,60.5
2025-05-17 18:00:30,13.0,MEM_STRESS,60.75
2025-05-17 18:00:45,13.0,MEM_STRESS,61.0
2025-05-17 18:01:00,13.0,MEM_STRESS,61.25
2025-05-17 18:01:15,13.0,MEM_STRESS,61.5
2025-05-17 18:01:30,13.0,MEM_STRESS,61.75
2025-05-17 18:01:45,13.0,MEM_STRESS,62.0
2025-05-17 18:02:00,13.0,MEM_STRESS,62.25
2025-05-17 18:02:15,13.0,MEM_STRESS,62.5
2025-05-17 18:02:30,13.0,MEM_STRESS,62.75
2025-05-17 18:02:45,13.0,MEM_STRESS,63.0
2025-05-17 18:03:00,13.0,MEM_STRESS,63.25
2025-05-17 18:03:15,13.0,MEM_STRESS,63.5
2025-05-17 18:03:30,13.0,MEM_STRESS,63.75
2025-05-17 18:03:45,13.0,MEM_STRESS,64.0
2025-05-17 18:04:00,13.0,MEM_STRESS,64.25
2025-05-17 18:04:15,13.0,MEM_STRESS,64.5
2025-05-17 18:04:30,13.0,MEM_STRESS,64.75
2025-05-17 18:04:45,13.0,MEM_STRESS,65.0
2025-05-17 18:05:00,13.0,MEM_STRESS,65.25
2025-05-17 18:05:15,13.0,MEM_STRESS,65.5
2025-05-17 18:05:30,13.0,MEM_STRESS,65.75
2025-05-17 18:05:45,13.0,MEM_STRESS,66.0
2025-05-17 18:06:00,13.0,MEM_STRESS,66.25
2025-05-17 18:06:15,13.0,MEM_STRESS,66.5
2025-05-17 18:06:30,13.0,MEM_STRESS,66.75
2025-05-17 18:06:45,13.0,MEM_STRESS,67.0
2025-05-17 18:07:00,13.0,MEM_STRESS,67.25
2025-05-17 18:07:15,13.0,MEM_STRESS,67.5
2025-05-17 18:07:30,13.0,MEM_STRESS,67.75
2025-05-17 18:07:45,13.0,MEM_STRESS,68.0
2025-05-17 18:08:00,13.0,MEM_STRESS,68.25
2025-05-17 18:08:15,13.0,MEM_STRESS,68.5
2025-05-17 18:08:30,13.0,MEM_STRESS,68.75
2025-05-17 18:08:45,13.0,MEM_STRESS,69.0
2025-05-17 18:09:00,13.0,MEM_STRESS,69.25
2025-05-17 18:09:15,13.0,MEM_STRESS,69.5
2025-05-17 18:09:30,13.0,MEM_STRESS,69.75
2025-05-17 18:09:45,13.0,MEM_STRESS,70.0
2025-05-17 18:10:00,13.0,MEM_STRESS,70.25
2025-05-17 18:10:15,13.0,MEM_STRESS,70.5
2025-05-17 18:10:30,13.0,MEM_STRESS,70.75
2025-05-17 18:10:45,12.0,MEM_STRESS,71.0
2025-05-17 18:11:00,12.0,MEM_STRESS,71.25
2025-05-17 18:11:15,12.0,MEM_STRESS,71.5
