timestamp,experiment_name,seq_len,lstm1_units,lstm2_units,dropout_rate,learning_rate,epochs,batch_size,patience,class_weight_ratio,train_ratio,val_ratio,num_features,train_samples,val_samples,test_samples,f1_score,recall,precision,roc_auc,best_threshold,final_train_loss,final_val_loss,epochs_trained,focal_alpha,focal_gamma,method,n_runs,f1_score_mean,f1_score_std,recall_mean,recall_std,precision_mean,precision_std,roc_auc_mean,roc_auc_std,total_false_negatives,miss_rate,stability_cv_f1,stability_cv_auc,break_temporal_pattern,add_noise
20250730_144329,20_focal_standard,30,16,8,0.35,5e-05,50.0,32.0,5.0,1.0,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6752058554437328,0.7192982456140351,0.6362068965517241,0.8124311087219751,0.5,0.0485171899199485,0.0471830628812313,25.0,0.75,2.0,,,,,,,,,,,,,,,,
20250730_144404,21_focal_aggressive,30,16,8,0.35,5e-05,50.0,32.0,5.0,1.0,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6603325415676959,0.5419103313840156,0.8449848024316109,0.7976754793203994,0.6,0.0207487847656011,0.0216892678290605,19.0,0.85,3.0,,,,,,,,,,,,,,,,
20250730_144746,20_focal_standard,30,16,8,0.35,5e-05,50.0,32.0,5.0,1.0,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6752058554437328,0.7192982456140351,0.6362068965517241,0.8124311087219751,0.5,0.0485171899199485,0.0471830628812313,25.0,0.75,2.0,,,,,,,,,,,,,,,,
20250730_145058,20_focal_standard,30,16,8,0.35,5e-05,50.0,32.0,5.0,1.0,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6689956331877729,0.746588693957115,0.6060126582278481,0.7999777375968551,0.5,0.0505679175257682,0.0509207136929035,20.0,0.75,2.0,,,,,,,,,,,,,,,,
20250730_145220,20_focal_standard,30,16,8,0.35,5e-05,50.0,32.0,5.0,1.0,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.657243816254417,0.543859649122807,0.8303571428571429,0.7861750476469724,0.6,0.0496975257992744,0.0508488938212394,38.0,0.75,2.0,,,,,,,,,,,,,,,,
20250730_151806,simple_robust_focal,30,16,8,0.35,5e-05,,,,,,,,,,,,,,,,,,,0.75,2.0,simple_robust,5.0,0.663834159023108,0.0080921697448195,0.7076023391812865,0.0916635446997931,0.6455738597098613,0.0879442914162134,0.801032215326307,0.0057398070397816,750.0,0.2923976608187134,0.0121900472201187,0.0071655133588398,,
20250730_153023,anomaly_15s_optimized,8,48,24,0.5,0.0001,,128.0,,,,,,,,,,,,,,,,,0.8,2.5,robust_anomaly,5.0,0.6494614348141311,0.1174776598395078,0.6825455495385668,0.0845623632400888,0.6566856907277213,0.200836601912237,0.7552487732496926,0.1219570960427676,732.0,0.3112244897959184,0.1808847354779867,0.1614793699273543,True,True
20250730_153934,stabilized_learning,8,48,24,0.4,0.0001,,128.0,,,,,,,,,,,,,,,,,0.8,2.5,robust_anomaly,5.0,0.6533117596073035,0.1130097968539715,0.6869920819166492,0.1156551289353559,0.6705112686444992,0.1975686242252188,0.7581281471305105,0.1219310729234964,731.0,0.3107993197278911,0.1729798908286913,0.1608317451145976,True,True
20250730_154117,enhanced_capacity,8,64,32,0.3,0.0001,,128.0,,,,,,,,,,,,,,,,,0.8,2.5,robust_anomaly,5.0,0.6648210191363291,0.1097207291881672,0.738269788602204,0.1654096581801318,0.680376715740691,0.2158559234050578,0.7639555553790102,0.1194822558860004,607.0,0.258078231292517,0.1650379967388903,0.1563994856045303,True,True
20250730_154446,final_optimized,8,56,28,0.35,8e-05,,128.0,,,,,,,,,,,,,,,,,0.75,2.3,robust_anomaly,7.0,0.6569440951238449,0.12708336342071655,0.7874339229955917,0.10291161551254588,0.6168138951791377,0.23430255372857917,0.7567006881915272,0.11128179453619941,699.0,0.21246200607902735,0.1934462374561099,0.14706183868043882,True,True
