minutes,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,iowait_Minutes,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,irq_Minutes,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,system_Minutes,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,user_Minutes,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,utilization_Minutes
11.75,9,10,29,9,10,9,5,8,0,0,IO,11.75,909,1086,1103,470,470,433,502,492,0,0,IO,11.75,1189,1190,1250,1689,1554,1314,1586,1679,0,0,IO,11.75,7169,8621,9197,30788,28976,29994,31477,29087,0,0,IO,11.75,33.72166666666662,35.64789329340878,36.948458333333306,56.66814898057327,53.38161299817599,53.96863117664501,56.568224873655765,54.63565561779775,0,0,IO,11.75
12.0,11,8,36,7,10,9,5,8,0,0,IO,12.0,966,1108,1119,471,475,438,504,497,0,0,IO,12.0,1185,1197,1266,1649,1548,1320,1574,1676,0,0,IO,12.0,7186,8669,9052,31140,29819,30133,31786,30170,0,0,IO,12.0,33.95073333333329,35.615494812722794,37.109748809523786,56.29218216262902,54.87199238129285,54.359650998751725,56.87079588320177,55.09255952590173,0,0,IO,12.0
12.25,15,8,44,7,10,9,5,8,0,0,IO,12.25,1000,1086,1127,471,476,442,504,502,0,0,IO,12.25,1197,1206,1296,1610,1551,1326,1576,1680,0,0,IO,12.25,7373,8438,8936,31490,30942,30273,32141,30493,0,0,IO,12.25,35.476999999999954,35.513523384151355,37.11440833333332,56.206180143194544,55.67794238129286,54.74660743226072,57.0317199091758,55.733426006623006,0,0,IO,12.25
12.5,45,4,47,1,10,9,5,8,0,0,IO,12.5,1091,1084,1108,476,495,484,504,522,0,0,IO,12.5,1290,1316,1376,1539,1554,1501,1597,1678,0,0,IO,12.5,7847,8225,8722,32219,31689,31792,33568,33004,0,0,IO,12.5,36.59159999999995,36.03354298470818,37.51074365079365,57.83684240803304,57.32544250185941,57.756109899822384,60.58094182457576,59.50596276061774,0,0,IO,12.5
12.75,45,1,49,1,10,9,5,7,0,0,IO,12.75,1119,1093,1146,477,495,482,504,524,0,0,IO,12.75,1283,1313,1375,1533,1554,1477,1587,1682,0,0,IO,12.75,7852,8137,8918,32488,31795,31893,33907,33076,0,0,IO,12.75,36.93526666666661,36.48185213701762,38.18217931718665,58.53640329864172,57.39377345424035,58.25343606809855,61.11602342402209,59.4229694794095,0,0,IO,12.75
13.0,47,3,48,1,10,9,5,7,0,0,IO,13.0,1118,1125,1168,479,495,481,504,513,0,0,IO,13.0,1234,1308,1372,1543,1554,1495,1581,1663,0,0,IO,13.0,7823,8326,9049,33102,32216,32062,33873,32870,0,0,IO,13.0,37.32786666666664,36.91206682522797,39.00768106060606,59.16553563598798,58.304101051642974,58.48744154872906,60.99734293592574,59.08501540146507,0,0,IO,13.0
13.25,47,3,46,4,10,9,5,7,0,0,IO,13.25,1108,1237,1231,480,496,483,500,501,0,0,IO,13.25,1211,1306,1366,1558,1553,1497,1554,1586,0,0,IO,13.25,7789,8545,9788,33365,32620,32415,34000,33028,0,0,IO,13.25,37.76228333333332,38.162931801346645,40.66697554112553,59.39242738197913,59.245812162754085,58.83805029623153,61.40966680568342,59.01067551923945,0,0,IO,13.25
13.5,56,8,46,1,10,2,7,12,0,0,IO,13.5,1096,1524,1455,497,504,486,490,477,0,0,IO,13.5,1115,1267,1352,1586,1559,1509,1388,1372,0,0,IO,13.5,7808,9577,10687,35390,34887,34073,34995,33061,0,0,IO,13.5,38.015947619047616,41.44772266331382,43.35560463564215,64.02731509150757,62.69072894219891,62.319284927830175,62.44464282404727,59.23084541463496,0,0,IO,13.5
13.75,57,12,46,1,10,2,7,12,0,0,IO,13.75,1111,1567,1468,498,502,484,495,479,0,0,IO,13.75,1111,1270,1362,1573,1573,1508,1379,1369,0,0,IO,13.75,7835,9807,10633,35815,35099,34499,35190,33191,0,0,IO,13.75,38.24175555555556,41.86886788743826,43.412519501332,63.704697613657366,63.07582302589302,62.05829636431035,62.257881915502175,59.35107017568972,0,0,IO,13.75
14.0,55,15,44,1,10,2,7,12,0,0,IO,14.0,1118,1565,1478,495,502,483,498,475,0,0,IO,14.0,1115,1276,1366,1563,1573,1504,1384,1373,0,0,IO,14.0,7879,9778,10609,35793,35110,34465,35155,33309,0,0,IO,14.0,38.44663247863248,42.072773820523054,43.51667856726607,63.56611901170377,63.40518334335332,61.94621410624583,62.24858548693075,59.49440643480013,0,0,IO,14.0
