minutes,io_readbytes_openeuler-home,io_readbytes_openeuler-root,io_readbytes_openeuler-swap,io_readbytes_sda,io_readbytes_source,io_writebytes_openeuler-home,io_writebytes_openeuler-root,io_writebytes_openeuler-swap,io_writebytes_sda,io_writebytes_source
2025-05-17 18:02:00,1955,23775,25784.097318294796,58734,oom,498628,4126254,304249.4787382981,4832346,oom
2025-05-17 18:02:15,2076,61338,39957.76859497359,35237,oom,505834,4078677,178165.4520389527,4287071,oom
2025-05-17 18:02:30,1876,62026,41351.235354000775,35401,oom,579283,4076419,117841.3713856406,4221834,oom
2025-05-17 18:02:45,1500,50573,39797.60510554159,184038,oom,583501,3984303,136319.00262169164,4379242,oom
2025-05-17 18:03:00,194,32673,39797.60510554159,184038,oom,739599,3980772,136319.00262169164,4385761,oom
2025-05-17 18:03:15,223,29519,39797.60510554159,69632,oom,739018,3991477,136319.00262169164,4973897,oom
2025-05-17 18:03:30,23,28009,39416.99150204358,69632,oom,686027,3991477,136319.00262169164,5037638,oom
2025-05-17 18:03:45,23,18432,39509.9046948886,69632,oom,682284,4053256,136319.00262169164,4845248,oom
2025-05-17 18:04:00,0,18432,38848.02208139202,3495936,oom,654478,4068284,136319.00262169164,4825004,oom
2025-05-17 18:04:15,0,14336,38722.94779567774,3481600,oom,646822,4051399,136319.00262169164,4633897,oom
2025-05-17 18:04:30,0,3725312,38705.393509963455,3467264,oom,622645,4051399,136319.00262169164,4635818,oom
2025-05-17 18:04:45,14336,3729408,38705.393509963455,3467264,oom,620210,4225928,136319.00262169164,4612338,oom
2025-05-17 18:05:00,14336,3733504,22069.31493536805,280576,oom,526664,4242771,150944.55103060938,4612338,oom
2025-05-17 18:05:15,14336,3733504,18563.57019758656,280576,oom,544149,4195095,192750.77026285845,4545099,oom
2025-05-17 18:05:30,14336,18432,17589.56121240298,280576,oom,496670,4204040,231329.66814223264,4535688,oom
2025-05-17 18:05:45,0,18432,17589.56121240298,552960,oom,494080,3986081,231329.66814223264,4526096,oom
2025-05-17 18:06:00,0,18432,17518.62167095677,552960,oom,452091,3960499,231329.66814223264,4524413,oom
2025-05-17 18:06:15,0,0,10158.448652521938,0,oom,453346,3945089,224921.2697409262,4531595,oom
2025-05-17 18:06:30,0,0,9002.88290194231,109618,oom,470104,3940321,258796.1994067336,4359228,oom
2025-05-17 18:06:45,0,0,6686.958294265822,80879,oom,470104,3738655,288466.20973012294,4352095,oom
2025-05-17 18:07:00,0,1458,6686.958294265822,400459,oom,472080,3728012,288466.20973012294,4410032,oom
2025-05-17 18:07:15,23,1458,7190.786981134509,397349,oom,499097,3874085,288466.20973012294,4418419,oom
2025-05-17 18:07:30,23,1458,7654.749448765888,64169,oom,505463,3874194,288466.20973012294,4626255,oom
2025-05-17 18:07:45,23,1458,8155.115431959166,52024,oom,518147,4295437,288466.20973012294,4674600,oom
2025-05-17 18:08:00,23,1458,49426.37760928834,58100,oom,466944,4299284,3270431.533178347,4627312,oom
2025-05-17 18:08:15,23,5035,56380.45229054576,58100,oom,466944,4298425,7515697.780427602,4639802,oom
2025-05-17 18:08:30,23,16297,59328.00269723949,64612,oom,453632,4300611,2120420.970789045,4795761,oom
2025-05-17 18:08:45,23,91040,59328.00269723949,65406,oom,440320,4304704,2120420.970789045,4700395,oom
2025-05-17 18:09:00,23,69521,59235.35507819188,60079,oom,453632,4190065,2120420.970789045,4472392,oom
2025-05-17 18:09:15,23,64911,59074.24574485854,58348,oom,681984,4101124,2120420.970789045,4452936,oom
2025-05-17 18:09:30,23,62840,57428.58331390938,14322,oom,681984,4026128,2120420.970789045,3961627,oom
2025-05-17 18:09:45,23,62840,19206.974714206528,12858,oom,681984,4005686,19842817.150500964,3991608,oom
2025-05-17 18:10:00,23,48361,13234.346534727443,344069,oom,681984,3448979,310026.1653032437,4084758,oom
2025-05-17 18:10:15,23,47791,6665.573649459597,306566,oom,462848,3396240,231906.1426444913,4091364,oom
2025-05-17 18:10:30,23,49919,6665.573649459597,126883,oom,462848,3593351,231906.1426444913,4309866,oom
2025-05-17 18:10:45,23,51340,6390.556506602455,135263,oom,462848,3593351,231906.1426444913,4286218,oom
2025-05-17 18:11:00,23,68755,6390.556506602455,108979,oom,450560,4195685,231906.1426444913,4393472,oom
2025-05-17 18:11:15,23,68847,6390.556506602455,107511,oom,475136,4211289,231906.1426444913,4401142,oom
2025-05-17 18:11:30,23,52572,43664.45647362938,43542,oom,475136,4175803,193107.4552610739,4858494,oom
2025-05-17 18:11:45,23,46176,44700.88979377917,37387,oom,475136,4174424,215134.2076444929,4916317,oom
2025-05-17 18:12:00,23,12841,39205.08974783408,20639,oom,488971,4108180,304249.4787382981,4723595,oom
2025-05-17 18:12:15,23,10738,39152.757371094405,20639,oom,403456,4082562,304249.4787382981,4722653,oom
2025-05-17 18:12:30,23,6131,13773.408398130814,37561,oom,403456,3985319,215134.2076444929,4656053,oom
2025-05-17 18:12:45,23,5812,11974.318502375554,72085,oom,403456,4141056,193107.4552610739,4660128,oom
2025-05-17 18:13:00,23,2111,5569.826866951375,186856,oom,403456,4141056,231329.66814223264,4529388,oom
2025-05-17 18:13:15,23,3596,5569.826866951375,194240,oom,538624,4141056,231329.66814223264,4515677,oom
2025-05-17 18:13:30,23,166715,5569.826866951375,469389,oom,538624,4141056,200785.5685579368,3722425,oom
2025-05-17 18:13:45,23,488272,5569.826866951375,517702,oom,602112,3055616,216384.5145649016,3656474,oom
2025-05-17 18:14:00,23,879717,5569.826866951375,507076,oom,602112,3024896,252998.56244664587,3546667,oom
2025-05-17 18:14:15,23,876240,5569.826866951375,507076,oom,610304,3024896,252998.56244664587,3535524,oom
2025-05-17 18:14:30,23,638960,5569.826866951375,506811,oom,610304,3024896,252998.56244664587,3487331,oom
2025-05-17 18:14:45,23,638960,5569.826866951375,293604,oom,642048,3024896,252998.56244664587,2546522,oom
2025-05-17 18:15:00,23,582251,5569.826866951375,252672,oom,745472,2883584,252998.56244664587,2385843,oom
2025-05-17 18:15:15,23,275616,5569.826866951375,167071,oom,692224,2883584,252998.56244664587,2494317,oom
2025-05-17 18:15:30,23,205532,5569.826866951375,101752,oom,692224,2883584,252998.56244664587,2487768,oom
2025-05-17 18:15:45,23,62006,5569.826866951375,94379,oom,664326,2185216,252998.56244664587,2508476,oom
2025-05-17 18:16:00,23,44125,5569.826866951375,65141,oom,654709,2719744,252998.56244664587,2566411,oom
2025-05-17 18:16:15,23,55296,5569.826866951375,62630,oom,655316,2719744,214772.87363798532,2776339,oom
2025-05-17 18:16:30,23,55296,5569.826866951375,145408,oom,651891,2719744,214772.87363798532,3864262,oom
2025-05-17 18:16:45,23,261120,5569.826866951375,145408,oom,645355,2719744,254610.2033735621,4075364,oom
2025-05-17 18:17:00,23,2824192,5569.826866951375,95232,oom,643118,2895872,254610.2033735621,5457525,oom
2025-05-17 18:17:15,23,2824192,5569.826866951375,7170048,oom,643118,2895872,254610.2033735621,5705757,oom
2025-05-17 18:17:30,23,2824192,5569.826866951375,7170048,oom,645753,2895872,254610.2033735621,8918891,oom
2025-05-17 18:17:45,23,5537792,5569.826866951375,7170048,oom,646098,2895872,254610.2033735621,9037120,oom
2025-05-17 18:18:00,23,8712192,5569.826866951375,7170048,oom,646385,6901760,254610.2033735621,9687395,oom
2025-05-17 18:18:15,1305,4411392,5569.826866951375,7170048,oom,609406,6901760,254610.2033735621,9782735,oom
2025-05-17 18:18:30,1297,4411392,5569.826866951375,198656,oom,643144,6901760,254610.2033735621,9708454,oom
2025-05-17 18:18:45,174,5768192,5569.826866951375,198656,oom,849844,6901760,254610.2033735621,9422916,oom
2025-05-17 18:19:00,188,2998272,5569.826866951375,176128,oom,877763,3233792,254610.2033735621,9163239,oom
2025-05-17 18:19:15,23,3791872,5569.826866951375,307200,oom,812062,3850240,254610.2033735621,7718549,oom
2025-05-17 18:19:30,23,3791872,5569.826866951375,159744,oom,807764,3850240,254610.2033735621,7491267,oom
2025-05-17 18:19:45,2048,3791872,5569.826866951375,196608,oom,710362,3850240,254610.2033735621,4934706,oom
2025-05-17 18:20:00,2048,24830976,5569.826866951375,196608,oom,705085,3952640,254610.2033735621,4703006,oom
2025-05-17 18:20:15,2048,24830976,5569.826866951375,196608,oom,673012,3952640,254610.2033735621,4383608,oom
2025-05-17 18:20:30,59392,24830976,5569.826866951375,21446656,oom,672009,3952640,254610.2033735621,4383608,oom
2025-05-17 18:20:45,59392,24830976,5569.826866951375,21446656,oom,667466,3957718,254610.2033735621,4480472,oom
2025-05-17 18:21:00,59392,4356096,5569.826866951375,21446656,oom,667114,3953099,254610.2033735621,4503317,oom
2025-05-17 18:21:15,59392,1024,5662.563768359824,21446656,oom,661015,3387210,277688.520792917,4492678,oom
2025-05-17 18:21:30,0,0,5711.715768359823,124928,oom,659413,3370161,6249142.74773052,4489807,oom
2025-05-17 18:21:45,0,0,5752.963206956314,124928,oom,565248,3471961,5002000.771385869,4166943,oom
2025-05-17 18:22:00,0,0,5802.115206956315,124928,oom,565248,3478483,4925235.288961612,4181645,oom
2025-05-17 18:22:15,0,0,5929.676349813457,16384,oom,555008,3875857,4925235.288961612,4280606,oom
2025-05-17 18:22:30,0,1456,6029.561262094158,0,oom,544768,3947371,4925235.288961612,4280606,oom
2025-05-17 18:22:45,0,1456,6112.334595427492,0,oom,544768,3962741,4925235.288961612,4590841,oom
2025-05-17 18:23:00,23,1647,6277.541499915409,10653,oom,462848,3969064,4925235.288961612,4608951,oom
2025-05-17 18:23:15,23,4051,6370.471424727439,189915,oom,462848,4576737,4925235.288961612,4578418,oom
2025-05-17 18:23:30,23,4016,6577.587905767525,159377,oom,702464,4596827,4925235.288961612,4583534,oom
2025-05-17 18:23:45,23,6217,6577.587905767525,14076,oom,650240,4484210,4925235.288961612,5075332,oom
2025-05-17 18:24:00,23,6217,6835.04973342449,8502,oom,733184,4481489,4925235.288961612,5175924,oom
2025-05-17 18:24:15,23,5937,14657.090793022711,13597,oom,733184,4446375,6021851.991193939,4864194,oom
2025-05-17 18:24:30,23,829,16040.645705105557,14032,oom,618496,4053595,4080950.778234264,4864194,oom
2025-05-17 18:24:45,23,674,17580.154761865862,14011,oom,634401,4014636,133587.0053338487,4529839,oom
2025-05-17 18:25:00,23,232,17580.154761865862,14011,oom,620591,3939477,133587.0053338487,4456177,oom
