minutes,tcp_customersservice_customers_service,tcp_customersservice_source,tcp_vetsservice_vets_service,tcp_vetsservice_source,tcp_visitsservice_visits_service,tcp_visitsservice_source
2025-05-17 16:58:30,14,OOM,0.0,OOM,0,OOM
2025-05-17 16:58:45,14,OOM,0.0,OOM,0,OOM
2025-05-17 16:59:00,14,OOM,0.0,OOM,0,OOM
2025-05-17 16:59:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:59:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:59:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:00:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:00:15,12,OOM,0.0,OOM,0,OOM
2025-05-17 17:00:30,12,OOM,0.0,OOM,0,OOM
2025-05-17 17:00:45,12,OOM,0.0,OOM,0,OOM
2025-05-17 17:01:00,12,OOM,0.0,OOM,0,OOM
2025-05-17 17:01:15,163,OOM,0.0,OOM,0,OOM
2025-05-17 17:01:30,163,OOM,0.0,OOM,0,OOM
2025-05-17 17:01:45,163,OOM,0.0,OOM,0,OOM
2025-05-17 17:02:00,163,OOM,0.0,OOM,0,OOM
2025-05-17 17:02:15,14,OOM,0.0,OOM,0,OOM
2025-05-17 17:02:30,14,OOM,0.0,OOM,0,OOM
2025-05-17 17:02:45,14,OOM,0.0,OOM,0,OOM
2025-05-17 17:03:00,14,OOM,0.0,OOM,0,OOM
2025-05-17 17:03:15,14,OOM,0.0,OOM,0,OOM
2025-05-17 17:03:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:03:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:04:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:04:15,23,OOM,0.0,OOM,0,OOM
2025-05-17 17:04:30,23,OOM,0.0,OOM,0,OOM
2025-05-17 17:04:45,23,OOM,0.0,OOM,0,OOM
2025-05-17 17:05:00,23,OOM,0.0,OOM,0,OOM
2025-05-17 17:05:15,23,OOM,0.0,OOM,0,OOM
2025-05-17 17:05:30,53,OOM,0.0,OOM,0,OOM
2025-05-17 17:05:45,53,OOM,0.0,OOM,0,OOM
