time,apigateway_api_gateway,customersservice_customers_service,srtt_SRTT_cumulative,vetsservice_vets_service,visitsservice_visits_service
2025-05-17 17:20:30,0.0,0.0,3991.683351421936,0.0,0.0
2025-05-17 17:20:45,0.0,0.0,3972.721569337096,0.0,0.0
2025-05-17 17:21:00,0.0,0.0,3956.3241183685736,0.0,0.0
2025-05-17 17:21:15,0.0,48.0,3936.586111042566,0.0,0.0
2025-05-17 17:21:30,0.0,48.0,3946.878277686541,0.0,0.0
2025-05-17 17:21:45,0.0,48.0,3862.8723484206025,0.0,0.0
2025-05-17 17:22:00,0.0,48.0,3866.51180221695,0.0,0.0
2025-05-17 17:22:15,0.0,147.75,4127.1319614108415,0.0,0.0
2025-05-17 17:22:30,0.0,147.75,4772.3591053356695,0.0,0.0
2025-05-17 17:22:45,0.0,147.75,4903.106670075023,0.0,0.0
2025-05-17 17:23:00,0.0,147.75,4944.983477424536,0.0,0.0
2025-05-17 17:23:15,0.0,0.0,4673.137732705175,0.0,0.0
2025-05-17 17:23:30,0.0,0.0,4231.186831558444,0.0,0.0
2025-05-17 17:23:45,0.0,0.0,4217.9755276701935,0.0,0.0
2025-05-17 17:24:00,0.0,0.0,4180.942766098431,0.0,0.0
2025-05-17 17:24:15,0.0,100.5,4065.4936039611302,0.0,0.0
2025-05-17 17:24:30,0.0,100.5,3859.3849359396486,0.0,0.0
2025-05-17 17:24:45,0.0,100.5,3831.825254620967,0.0,0.0
2025-05-17 17:25:00,0.0,100.5,3929.3080035498087,0.0,0.0
2025-05-17 17:25:15,0.0,19.5,4008.741388642976,0.0,0.0
2025-05-17 17:25:30,0.0,19.5,4358.317786594122,0.0,0.0
2025-05-17 17:25:45,0.0,19.5,4402.142980179213,0.0,0.0
2025-05-17 17:26:00,0.0,19.5,4416.426077247061,0.0,0.0
2025-05-17 17:26:15,0.0,109.5,4490.452432225416,0.0,5.25
2025-05-17 17:26:30,0.0,109.5,5025.150475426533,0.0,5.25
2025-05-17 17:26:45,0.0,109.5,5015.679760544797,0.0,5.25
