Time,connection_1,connection_2,connection_3
2025-05-19 03:12:30,,14,0,
2025-05-19 03:12:45,,0,12,
2025-05-19 03:13:00,,0,12,
2025-05-19 03:13:15,,0,12,
2025-05-19 03:13:30,,0,12,
2025-05-19 03:13:45,,0,330,
2025-05-19 03:14:00,,0,330,
2025-05-19 03:14:15,,0,330,
2025-05-19 03:14:30,,0,330,
2025-05-19 03:14:45,,5,0,
2025-05-19 03:15:00,,5,0,
2025-05-19 03:15:15,,5,0,
2025-05-19 03:15:30,,5,0,
2025-05-19 03:15:45,,3,0,
2025-05-19 03:16:00,,3,0,
2025-05-19 03:16:15,,3,0,
2025-05-19 03:16:30,,3,0,
2025-05-19 03:16:45,,3,6,
2025-05-19 03:17:00,,3,6,
2025-05-19 03:17:15,,3,6,
2025-05-19 03:17:30,,3,6,
2025-05-19 03:17:45,,3,0,
2025-05-19 03:18:00,,3,0,
2025-05-19 03:18:15,,3,0,
2025-05-19 03:18:30,,3,0,
2025-05-19 03:18:45,,3,0,
2025-05-19 03:19:00,,3,0,
2025-05-19 03:19:15,,3,0,
2025-05-19 03:19:30,,3,0,
2025-05-19 03:19:45,,3,0,
2025-05-19 03:20:00,,3,0,
2025-05-19 03:20:15,,3,0,
2025-05-19 03:20:30,,3,0,
2025-05-19 03:20:45,,,12,
2025-05-19 03:21:00,,,12,
2025-05-19 03:21:15,,,12,
2025-05-19 03:21:30,,,12,
2025-05-19 03:21:45,,,0,
2025-05-19 03:22:00,,,0,
2025-05-19 03:22:15,,,0,
2025-05-19 03:22:30,,,0,
2025-05-19 03:22:45,,,0,
2025-05-19 03:23:00,,,0,
2025-05-19 03:23:15,,,0,
2025-05-19 03:23:30,,,0,
2025-05-19 03:23:45,,0,0,
2025-05-19 03:24:00,,0,0,
2025-05-19 03:24:15,,0,0,
2025-05-19 03:24:30,,0,0,
2025-05-19 03:24:45,,0,11,
2025-05-19 03:25:00,,0,11,
2025-05-19 03:25:15,,0,11,
2025-05-19 03:25:30,,0,11,
2025-05-19 03:25:45,,7,0,
2025-05-19 03:26:00,,7,0,
2025-05-19 03:26:15,,7,0,
2025-05-19 03:26:30,,7,0,
2025-05-19 03:26:45,,1,0,
2025-05-19 03:27:00,,1,0,
2025-05-19 03:27:15,,1,0,
2025-05-19 03:27:30,,1,0,
2025-05-19 03:27:45,,1,0,
2025-05-19 03:28:00,,1,0,
2025-05-19 03:28:15,,1,0,
2025-05-19 03:28:30,,1,0,
2025-05-19 03:28:45,,1,57,
2025-05-19 03:29:00,,1,57,
2025-05-19 03:29:15,,1,57,
2025-05-19 03:29:30,,1,57,
2025-05-19 03:29:45,,1,0,
2025-05-19 03:30:00,,1,0,
2025-05-19 03:30:15,,1,0,
2025-05-19 03:30:30,,1,0,
2025-05-19 03:30:45,,1,283,
2025-05-19 03:31:00,,1,283,
2025-05-19 03:31:15,,1,283,
2025-05-19 03:31:30,,1,283,
2025-05-19 03:31:45,,,0,
2025-05-19 03:32:00,,,0,
2025-05-19 03:32:15,,,0,
2025-05-19 03:32:30,,,0,
2025-05-19 03:32:45,,,27,
2025-05-19 03:33:00,,,27,
2025-05-19 03:33:15,,,27,
2025-05-19 03:33:30,,,27,
2025-05-19 03:33:45,,,0,
2025-05-19 03:34:00,,,0,
2025-05-19 03:34:15,,,0,
2025-05-19 03:34:30,,,0,
2025-05-19 03:34:45,,,0,
2025-05-19 03:35:00,,,0,
2025-05-19 03:35:15,,,0,
2025-05-19 03:35:30,,,0,
2025-05-19 03:35:45,,0,33,
2025-05-19 03:36:00,,0,33,
2025-05-19 03:36:15,,0,33,
2025-05-19 03:36:30,,0,33,
2025-05-19 03:36:45,,0,0,
2025-05-19 03:37:00,,0,0,
2025-05-19 03:37:15,,0,0,
2025-05-19 03:37:30,,0,0,
2025-05-19 03:37:45,,0,0,
2025-05-19 03:38:00,,0,0,
2025-05-19 03:38:15,,0,0,
2025-05-19 03:38:30,,0,0,
2025-05-19 03:38:45,,0,0,
2025-05-19 03:39:00,,0,0,
2025-05-19 03:39:15,,0,0,
2025-05-19 03:39:30,,0,0,
2025-05-19 03:39:45,,0,6,
2025-05-19 03:40:00,,0,6,
2025-05-19 03:40:15,,0,6,
2025-05-19 03:40:30,,0,6,
2025-05-19 03:40:45,,,6,
2025-05-19 03:41:00,,,6,
2025-05-19 03:41:15,,,6,0
2025-05-19 03:41:30,,,6,0
2025-05-19 03:41:45,,,145,0
2025-05-19 03:42:00,,,145,0
2025-05-19 03:42:15,,,145,0
2025-05-19 03:42:30,,,145,0
2025-05-19 03:42:45,,,0,0
2025-05-19 03:43:00,,,0,0
2025-05-19 03:43:15,,,0,0
2025-05-19 03:43:30,,,0,0
2025-05-19 03:43:45,,,0,0
2025-05-19 03:44:00,,,0,0
2025-05-19 03:44:15,,,0,0
2025-05-19 03:44:30,,,0,0
2025-05-19 03:44:45,,,6,0
2025-05-19 03:45:00,,,6,0
2025-05-19 03:45:15,,,6,0
2025-05-19 03:45:30,,,6,0
2025-05-19 03:45:45,,,0,0
2025-05-19 03:46:00,,,0,0
2025-05-19 03:46:15,,,0,0
2025-05-19 03:46:30,,0,0,0
2025-05-19 03:46:45,,0,0,0
2025-05-19 03:47:00,,0,0,0
2025-05-19 03:47:15,,0,0,0
2025-05-19 03:47:30,,0,0,0
2025-05-19 03:47:45,,0,6,0
2025-05-19 03:48:00,,0,6,0
2025-05-19 03:48:15,,0,6,
2025-05-19 03:48:30,,0,6,
2025-05-19 03:48:45,,0,0,
2025-05-19 03:49:00,,0,0,
2025-05-19 03:49:15,,0,0,
2025-05-19 03:49:30,,0,0,
2025-05-19 03:49:45,,0,330,
2025-05-19 03:50:00,,0,330,
2025-05-19 03:50:15,,0,330,
2025-05-19 03:50:30,,0,330,
2025-05-19 03:50:45,,0,0,
2025-05-19 03:51:00,,0,0,
2025-05-19 03:51:15,,0,0,
2025-05-19 03:51:30,,,0,
2025-05-19 03:51:45,,,12,
2025-05-19 03:52:00,,,12,
2025-05-19 03:52:15,,,12,
2025-05-19 03:52:30,,,12,
2025-05-19 03:52:45,,,0,
2025-05-19 03:53:00,,,0,
2025-05-19 03:53:15,,,0,
2025-05-19 03:53:30,,,0,
2025-05-19 03:53:45,,,6,
2025-05-19 03:54:00,,,6,
2025-05-19 03:54:15,,,6,
2025-05-19 03:54:30,,0,6,
