minutes,blocklatency_disk sda,blocklatency_source,blocklatency_Minutes,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,readbytes_source,readbytes_Minutes,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,writebytes_source,writebytes_Minutes
29.0,13.0,MEM_STRESS,29.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,29.0,714881.9874842525,4427868.543077239,0.0,5206865.239796469,MEM_STRESS,29.0
29.25,13.0,MEM_STRESS,29.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,29.25,720659.3039070166,4423111.27801646,0.0,5002405.470612618,MEM_STRESS,29.25
29.5,13.0,MEM_STRESS,29.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,29.5,735066.6626349298,4416535.322685587,0.0,4117299.5647436194,MEM_STRESS,29.5
29.75,13.0,MEM_STRESS,29.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,29.75,735153.3320148571,4416017.113669714,0.0,3659818.60465069,MEM_STRESS,29.75
30.0,13.0,MEM_STRESS,30.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,30.0,764257.025933795,4414223.065669714,0.0,1807242.206241758,MEM_STRESS,30.0
30.25,13.0,MEM_STRESS,30.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,30.25,763647.8008335619,4429518.957460156,0.0,1275904.585142857,MEM_STRESS,30.25
30.5,13.0,MEM_STRESS,30.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,30.5,764299.7499943406,4377634.098664272,0.0,1469092.4251428577,MEM_STRESS,30.5
30.75,13.0,MEM_STRESS,30.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,30.75,766375.4600929273,4370465.807180446,0.0,2872380.149684981,MEM_STRESS,30.75
31.0,13.0,MEM_STRESS,31.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,31.0,800921.8414162332,4379759.440359211,0.0,5212619.508287991,MEM_STRESS,31.0
31.25,13.0,MEM_STRESS,31.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,31.25,796506.9762991575,4385545.723025877,0.0,5221460.041621324,MEM_STRESS,31.25
31.5,13.0,MEM_STRESS,31.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,31.5,794492.231918205,4510433.462255611,0.0,5242522.054644579,MEM_STRESS,31.5
31.75,13.0,MEM_STRESS,31.75,0.0,0.0,0.0,86016.0,MEM_STRESS,31.75,785038.385320021,4510433.462255611,0.0,5305156.598123276,MEM_STRESS,31.75
32.0,13.0,MEM_STRESS,32.0,0.0,0.0,0.0,86016.0,MEM_STRESS,32.0,777452.8320146597,4496790.542769069,0.0,5388617.123528503,MEM_STRESS,32.0
32.25,13.0,MEM_STRESS,32.25,0.0,2270208.0,0.0,86016.0,MEM_STRESS,32.25,723171.8279677099,4507505.632875511,0.0,5719283.470117027,MEM_STRESS,32.25
32.5,13.0,MEM_STRESS,32.5,0.0,2270208.0,0.0,86016.0,MEM_STRESS,32.5,721756.8567103591,4593870.735829833,0.0,5679789.05792655,MEM_STRESS,32.5
32.75,13.0,MEM_STRESS,32.75,0.0,2270208.0,0.0,9793536.0,MEM_STRESS,32.75,705859.7843796985,4592153.96331154,0.0,5686498.421612688,MEM_STRESS,32.75
33.0,13.0,MEM_STRESS,33.0,0.0,2270208.0,0.0,9793536.0,MEM_STRESS,33.0,696688.4652881233,4577538.239026327,0.0,6054306.930012106,MEM_STRESS,33.0
33.25,13.0,MEM_STRESS,33.25,0.0,7781376.0,0.0,9793536.0,MEM_STRESS,33.25,599483.7607091881,4544076.278720072,0.0,5682541.628160582,MEM_STRESS,33.25
33.5,13.0,MEM_STRESS,33.5,0.0,7781376.0,0.0,9793536.0,MEM_STRESS,33.5,585388.5225545428,4204599.04719736,0.0,5680577.957572346,MEM_STRESS,33.5
33.75,13.0,MEM_STRESS,33.75,0.0,7781376.0,0.0,270336.0,MEM_STRESS,33.75,603920.2889048051,4202399.1801204365,0.0,5583748.009950397,MEM_STRESS,33.75
34.0,13.0,MEM_STRESS,34.0,0.0,7781376.0,0.0,270336.0,MEM_STRESS,34.0,681507.0003295738,4196900.837251572,0.0,5117520.445768034,MEM_STRESS,34.0
34.25,12.0,MEM_STRESS,34.25,0.0,307200.0,0.0,270336.0,MEM_STRESS,34.25,904580.3369437036,4251528.068428179,0.0,5120299.916741119,MEM_STRESS,34.25
34.5,12.0,MEM_STRESS,34.5,0.0,307200.0,0.0,270336.0,MEM_STRESS,34.5,904500.4649437034,4490403.829386348,1072128.0,5135629.879407785,MEM_STRESS,34.5
34.75,12.0,MEM_STRESS,34.75,0.0,307200.0,0.0,629760.0,MEM_STRESS,34.75,895210.7369437035,4492138.270671765,1072128.0,5181965.030637732,MEM_STRESS,34.75
35.0,12.0,MEM_STRESS,35.0,0.0,307200.0,0.0,629760.0,MEM_STRESS,35.0,908272.2958008462,4493262.395116209,1072128.0,5456263.10473102,MEM_STRESS,35.0
